alpha,chi2
1.093493e+00,9.257668e+01
1.093894e+00,9.262126e+01
1.094294e+00,9.266583e+01
1.094695e+00,9.271040e+01
1.095095e+00,9.275495e+01
1.095495e+00,9.279949e+01
1.095896e+00,9.284402e+01
1.096296e+00,9.288853e+01
1.096697e+00,9.293303e+01
1.097097e+00,9.297752e+01
1.097497e+00,9.302200e+01
1.097898e+00,9.306645e+01
1.098298e+00,9.311090e+01
1.098699e+00,9.315532e+01
1.099099e+00,9.319973e+01
1.099499e+00,9.324412e+01
1.099900e+00,9.328849e+01
1.100300e+00,9.333284e+01
1.100701e+00,9.337717e+01
1.101101e+00,9.342148e+01
1.101502e+00,9.346577e+01
1.101902e+00,9.351003e+01
1.102302e+00,9.355428e+01
1.102703e+00,9.359850e+01
1.103103e+00,9.364269e+01
1.103504e+00,9.368686e+01
1.103904e+00,9.373100e+01
1.104304e+00,9.377511e+01
1.104705e+00,9.381920e+01
1.105105e+00,9.386326e+01
1.105506e+00,9.390729e+01
1.105906e+00,9.395129e+01
1.106306e+00,9.399526e+01
1.106707e+00,9.403919e+01
1.107107e+00,9.408310e+01
1.107508e+00,9.412697e+01
1.107908e+00,9.417081e+01
1.108308e+00,9.421461e+01
1.108709e+00,9.425838e+01
1.109109e+00,9.430211e+01
1.109510e+00,9.434581e+01
1.109910e+00,9.438947e+01
1.110310e+00,9.443309e+01
1.110711e+00,9.447667e+01
1.111111e+00,9.452022e+01
1.111512e+00,9.456372e+01
1.111912e+00,9.460718e+01
1.112312e+00,9.465060e+01
1.112713e+00,9.469398e+01
1.113113e+00,9.473731e+01
1.113514e+00,9.478060e+01
1.113914e+00,9.482384e+01
1.114314e+00,9.486704e+01
1.114715e+00,9.491019e+01
1.115115e+00,9.495330e+01
1.115516e+00,9.499635e+01
1.115916e+00,9.503936e+01
1.116316e+00,9.508231e+01
1.116717e+00,9.512522e+01
1.117117e+00,9.516807e+01
1.117518e+00,9.521088e+01
1.117918e+00,9.525363e+01
1.118318e+00,9.529632e+01
1.118719e+00,9.533896e+01
1.119119e+00,9.538155e+01
1.119520e+00,9.542408e+01
1.119920e+00,9.546655e+01
1.120320e+00,9.550897e+01
1.120721e+00,9.555132e+01
1.121121e+00,9.559362e+01
1.121522e+00,9.563586e+01
1.121922e+00,9.567803e+01
1.122322e+00,9.572014e+01
1.122723e+00,9.576219e+01
1.123123e+00,9.580418e+01
1.123524e+00,9.584610e+01
1.123924e+00,9.588796e+01
1.124324e+00,9.592975e+01
1.124725e+00,9.597147e+01
1.125125e+00,9.601313e+01
1.125526e+00,9.605472e+01
1.125926e+00,9.609623e+01
1.126326e+00,9.613768e+01
1.126727e+00,9.617906e+01
1.127127e+00,9.622036e+01
1.127528e+00,9.626160e+01
1.127928e+00,9.630276e+01
1.128328e+00,9.634384e+01
1.128729e+00,9.638485e+01
1.129129e+00,9.642579e+01
1.129530e+00,9.646664e+01
1.129930e+00,9.650742e+01
1.130330e+00,9.654812e+01
1.130731e+00,9.658875e+01
1.131131e+00,9.662929e+01
1.131532e+00,9.666975e+01
1.131932e+00,9.671013e+01
1.132332e+00,9.675042e+01
1.132733e+00,9.679063e+01
1.133133e+00,9.683076e+01
1.133534e+00,9.687080e+01
1.133934e+00,9.691076e+01
1.134334e+00,9.695063e+01
1.134735e+00,9.699041e+01
1.135135e+00,9.703010e+01
1.135536e+00,9.706970e+01
1.135936e+00,9.710922e+01
1.136336e+00,9.714864e+01
1.136737e+00,9.718797e+01
1.137137e+00,9.722721e+01
1.137538e+00,9.726636e+01
1.137938e+00,9.730542e+01
1.138338e+00,9.734438e+01
1.138739e+00,9.738324e+01
1.139139e+00,9.742201e+01
1.139540e+00,9.746069e+01
1.139940e+00,9.749927e+01
1.140340e+00,9.753775e+01
1.140741e+00,9.757613e+01
1.141141e+00,9.761442e+01
1.141542e+00,9.765260e+01
1.141942e+00,9.769068e+01
1.142342e+00,9.772867e+01
1.142743e+00,9.776655e+01
1.143143e+00,9.780433e+01
1.143544e+00,9.784200e+01
1.143944e+00,9.787958e+01
1.144344e+00,9.791704e+01
1.144745e+00,9.795440e+01
1.145145e+00,9.799166e+01
1.145546e+00,9.802881e+01
1.145946e+00,9.806585e+01
1.146346e+00,9.810279e+01
1.146747e+00,9.813962e+01
